"lan_int_pfk";"cam_lanc_dbo5";"cam_lanc_dbo20";"efl_qt_dbobruto";"efl_qt_dbotratado";"efl_qt_fosforobruto";"efl_qt_fosforotratado";"efl_qt_nitrogeniobruto";"efl_qt_nitrogeniotratado"
"173561";"";"";"";"";"";"";"";""
"173563";"";"";"";"603.0";"";"";"";""
"173573";"";"";"1480.0";"66.0";"";"";"";"1.0"
"173574";"";"";"2050.0";"26.04";"";"0.96";"";"6.13"
"173579";"";"";"106.0";"19.8";"";"";"";""
"174109";"";"";"";"";"";"";"";""
"174348";"";"";"";"";"";"";"";""
"174349";"";"";"";"";"";"";"";""
"174350";"";"";"";"";"";"";"";""
"174351";"";"";"";"";"";"";"";""
"174352";"";"";"";"";"";"";"";""
"174353";"";"";"";"";"";"";"";""
"174354";"";"";"";"";"";"";"";""
"174355";"";"";"";"";"";"";"";""
"174356";"";"";"";"";"";"";"";""
"174357";"";"";"";"";"";"";"";""
"174358";"";"";"";"";"";"";"";""
"174359";"";"";"";"";"";"";"";""
"174360";"";"";"";"";"";"";"";""
"174361";"";"";"";"";"";"";"";""
"174362";"";"";"";"";"";"";"";""
"174363";"";"";"";"";"";"";"";""
"174364";"";"";"";"";"";"";"";""
"174365";"";"";"";"";"";"";"";""
"174366";"";"";"";"";"";"";"";""
"174367";"";"";"";"";"";"";"";""
"174368";"";"";"";"";"";"";"";""
"174369";"";"";"";"";"";"";"";""
"174370";"";"";"";"";"";"";"";""
"174371";"";"";"";"";"";"";"";""
"174372";"";"";"";"";"";"";"";""
"174373";"";"";"";"";"";"";"";""
"174374";"";"";"";"";"";"";"";""
"174375";"";"";"";"";"";"";"";""
"174376";"";"";"";"";"";"";"";""
"174377";"";"";"";"";"";"";"";""
"174378";"";"";"";"";"";"";"";""
"174379";"";"";"";"";"";"";"";""
"174380";"";"";"";"";"";"";"";""
"174381";"";"";"";"";"";"";"";""
"174382";"";"";"";"";"";"";"";""
"174383";"";"";"";"";"";"";"";""
"174384";"";"";"";"";"";"";"";""
"174385";"";"";"";"";"";"";"";""
"174386";"";"";"";"";"";"";"";""
"174387";"";"";"";"";"";"";"";""
"174388";"";"";"";"";"";"";"";""
"174389";"";"";"";"";"";"";"";""
"174390";"";"";"";"";"";"";"";""
"174391";"";"";"";"";"";"";"";""
"174392";"";"";"";"";"";"";"";""
"174393";"";"";"";"";"";"";"";""
"174394";"";"";"";"";"";"";"";""
"174395";"";"";"";"";"";"";"";""
"174396";"";"";"";"";"";"";"";""
"174397";"";"";"";"";"";"";"";""
"174398";"";"";"";"";"";"";"";""
"174399";"";"";"";"";"";"";"";""
"174400";"";"";"";"";"";"";"";""
"174401";"";"";"";"";"";"";"";""
"174402";"";"";"";"";"";"";"";""
"174403";"";"";"";"";"";"";"";""
"174404";"";"";"";"";"";"";"";""
"174405";"";"";"";"";"";"";"";""
"174406";"";"";"";"";"";"";"";""
"174407";"";"";"";"";"";"";"";""
"174408";"";"";"";"";"";"";"";""
"174409";"";"";"";"";"";"";"";""
"174410";"";"";"";"";"";"";"";""
